Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch   1/1000 | Stage max M: 6 | Train Loss: 0.9514 | Train Consistent: 18/800 (2.2%) | Test Loss: 0.9030 | Test Consistent: 2/200 (1.0%)
Epoch   2/1000 | Stage max M: 6 | Train Loss: 0.9166 | Train Consistent: 8/800 (1.0%) | Test Loss: 0.8753 | Test Consistent: 8/200 (4.0%)
Epoch   3/1000 | Stage max M: 6 | Train Loss: 0.8764 | Train Consistent: 47/800 (5.9%) | Test Loss: 0.8266 | Test Consistent: 22/200 (11.0%)
Epoch   4/1000 | Stage max M: 6 | Train Loss: 0.8484 | Train Consistent: 94/800 (11.8%) | Test Loss: 0.8121 | Test Consistent: 34/200 (17.0%)
Epoch   5/1000 | Stage max M: 6 | Train Loss: 0.8257 | Train Consistent: 122/800 (15.2%) | Test Loss: 0.7961 | Test Consistent: 30/200 (15.0%)
Epoch   6/1000 | Stage max M: 6 | Train Loss: 0.8273 | Train Consistent: 117/800 (14.6%) | Test Loss: 0.8218 | Test Consistent: 30/200 (15.0%)
Epoch   7/1000 | Stage max M: 6 | Train Loss: 0.8154 | Train Consistent: 135/800 (16.9%) | Test Loss: 0.7986 | Test Consistent: 31/200 (15.5%)
Epoch   8/1000 | Stage max M: 6 | Train Loss: 0.8157 | Train Consistent: 130/800 (16.2%) | Test Loss: 0.8042 | Test Consistent: 38/200 (19.0%)
Epoch   9/1000 | Stage max M: 6 | Train Loss: 0.8133 | Train Consistent: 141/800 (17.6%) | Test Loss: 0.8004 | Test Consistent: 33/200 (16.5%)
Epoch  10/1000 | Stage max M: 6 | Train Loss: 0.8239 | Train Consistent: 131/800 (16.4%) | Test Loss: 0.8344 | Test Consistent: 31/200 (15.5%)
Epoch  11/1000 | Stage max M: 6 | Train Loss: 0.8074 | Train Consistent: 143/800 (17.9%) | Test Loss: 0.8159 | Test Consistent: 31/200 (15.5%)
Epoch  12/1000 | Stage max M: 6 | Train Loss: 0.8106 | Train Consistent: 163/800 (20.4%) | Test Loss: 0.8313 | Test Consistent: 38/200 (19.0%)
Epoch  13/1000 | Stage max M: 6 | Train Loss: 0.7987 | Train Consistent: 169/800 (21.1%) | Test Loss: 0.8140 | Test Consistent: 37/200 (18.5%)
Epoch  14/1000 | Stage max M: 6 | Train Loss: 0.8273 | Train Consistent: 132/800 (16.5%) | Test Loss: 0.8105 | Test Consistent: 41/200 (20.5%)
Epoch  15/1000 | Stage max M: 6 | Train Loss: 0.8063 | Train Consistent: 157/800 (19.6%) | Test Loss: 0.8133 | Test Consistent: 33/200 (16.5%)
Epoch  16/1000 | Stage max M: 6 | Train Loss: 0.8045 | Train Consistent: 154/800 (19.2%) | Test Loss: 0.8114 | Test Consistent: 40/200 (20.0%)
Epoch  17/1000 | Stage max M: 6 | Train Loss: 0.8082 | Train Consistent: 143/800 (17.9%) | Test Loss: 0.8267 | Test Consistent: 31/200 (15.5%)
Epoch  18/1000 | Stage max M: 6 | Train Loss: 0.7910 | Train Consistent: 174/800 (21.8%) | Test Loss: 0.7857 | Test Consistent: 48/200 (24.0%)
Epoch  19/1000 | Stage max M: 6 | Train Loss: 0.8027 | Train Consistent: 155/800 (19.4%) | Test Loss: 0.7963 | Test Consistent: 31/200 (15.5%)
Epoch  20/1000 | Stage max M: 6 | Train Loss: 0.8024 | Train Consistent: 149/800 (18.6%) | Test Loss: 0.8291 | Test Consistent: 31/200 (15.5%)
Epoch  21/1000 | Stage max M: 6 | Train Loss: 0.7951 | Train Consistent: 174/800 (21.8%) | Test Loss: 0.8026 | Test Consistent: 50/200 (25.0%)
Epoch  22/1000 | Stage max M: 6 | Train Loss: 0.8015 | Train Consistent: 155/800 (19.4%) | Test Loss: 0.8216 | Test Consistent: 31/200 (15.5%)
Epoch  23/1000 | Stage max M: 6 | Train Loss: 0.8144 | Train Consistent: 146/800 (18.2%) | Test Loss: 0.8203 | Test Consistent: 29/200 (14.5%)
Epoch  24/1000 | Stage max M: 6 | Train Loss: 0.7917 | Train Consistent: 176/800 (22.0%) | Test Loss: 0.8070 | Test Consistent: 32/200 (16.0%)
Epoch  25/1000 | Stage max M: 6 | Train Loss: 0.8034 | Train Consistent: 154/800 (19.2%) | Test Loss: 0.8265 | Test Consistent: 28/200 (14.0%)
Epoch  26/1000 | Stage max M: 6 | Train Loss: 0.7953 | Train Consistent: 166/800 (20.8%) | Test Loss: 0.8117 | Test Consistent: 36/200 (18.0%)
Epoch  27/1000 | Stage max M: 6 | Train Loss: 0.8022 | Train Consistent: 152/800 (19.0%) | Test Loss: 0.8332 | Test Consistent: 27/200 (13.5%)
Epoch  28/1000 | Stage max M: 6 | Train Loss: 0.8054 | Train Consistent: 162/800 (20.2%) | Test Loss: 0.7635 | Test Consistent: 61/200 (30.5%)
Epoch  29/1000 | Stage max M: 6 | Train Loss: 0.7945 | Train Consistent: 161/800 (20.1%) | Test Loss: 0.8213 | Test Consistent: 36/200 (18.0%)
Epoch  30/1000 | Stage max M: 6 | Train Loss: 0.8048 | Train Consistent: 157/800 (19.6%) | Test Loss: 0.7983 | Test Consistent: 30/200 (15.0%)
Epoch  31/1000 | Stage max M: 6 | Train Loss: 0.8136 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.8191 | Test Consistent: 30/200 (15.0%)
Epoch  32/1000 | Stage max M: 6 | Train Loss: 0.8058 | Train Consistent: 161/800 (20.1%) | Test Loss: 0.7974 | Test Consistent: 37/200 (18.5%)
Epoch  33/1000 | Stage max M: 6 | Train Loss: 0.7901 | Train Consistent: 178/800 (22.2%) | Test Loss: 0.8112 | Test Consistent: 47/200 (23.5%)
Epoch  34/1000 | Stage max M: 6 | Train Loss: 0.8031 | Train Consistent: 157/800 (19.6%) | Test Loss: 0.8006 | Test Consistent: 39/200 (19.5%)
Epoch  35/1000 | Stage max M: 6 | Train Loss: 0.8041 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.8081 | Test Consistent: 37/200 (18.5%)
Epoch  36/1000 | Stage max M: 6 | Train Loss: 0.8005 | Train Consistent: 153/800 (19.1%) | Test Loss: 0.8338 | Test Consistent: 32/200 (16.0%)
Epoch  37/1000 | Stage max M: 6 | Train Loss: 0.7973 | Train Consistent: 157/800 (19.6%) | Test Loss: 0.7863 | Test Consistent: 45/200 (22.5%)
Epoch  38/1000 | Stage max M: 6 | Train Loss: 0.8293 | Train Consistent: 136/800 (17.0%) | Test Loss: 0.7782 | Test Consistent: 50/200 (25.0%)
Epoch  39/1000 | Stage max M: 6 | Train Loss: 0.8010 | Train Consistent: 180/800 (22.5%) | Test Loss: 0.8174 | Test Consistent: 41/200 (20.5%)
Epoch  40/1000 | Stage max M: 6 | Train Loss: 0.8127 | Train Consistent: 141/800 (17.6%) | Test Loss: 0.7421 | Test Consistent: 50/200 (25.0%)
