Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch   1/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0008 CE 0.9789) | Train Consistent: 52/800 (6.5%) | Test Loss: 0.0019 (KL 0.0010 CE 0.9459) | Test Consistent: 0/200 (0.0%)
Epoch   2/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0009 CE 0.9580) | Train Consistent: 3/800 (0.4%) | Test Loss: 0.0018 (KL 0.0008 CE 0.9432) | Test Consistent: 0/200 (0.0%)
Epoch   3/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0008 CE 0.9542) | Train Consistent: 7/800 (0.9%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9408) | Test Consistent: 0/200 (0.0%)
Epoch   4/100 | Stage max M: 6 | Train Loss: 0.0020 (KL 0.0010 CE 0.9503) | Train Consistent: 10/800 (1.2%) | Test Loss: 0.0019 (KL 0.0010 CE 0.9213) | Test Consistent: 35/200 (17.5%)
Epoch   5/100 | Stage max M: 6 | Train Loss: 0.0020 (KL 0.0010 CE 0.9483) | Train Consistent: 14/800 (1.8%) | Test Loss: 0.0017 (KL 0.0007 CE 0.9293) | Test Consistent: 9/200 (4.5%)
Epoch   6/100 | Stage max M: 6 | Train Loss: 0.0020 (KL 0.0011 CE 0.9408) | Train Consistent: 27/800 (3.4%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9255) | Test Consistent: 16/200 (8.0%)
Epoch   7/100 | Stage max M: 6 | Train Loss: 0.0020 (KL 0.0010 CE 0.9458) | Train Consistent: 9/800 (1.1%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9151) | Test Consistent: 171/200 (85.5%)
Epoch   8/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9394) | Train Consistent: 34/800 (4.2%) | Test Loss: 0.0018 (KL 0.0008 CE 0.9319) | Test Consistent: 198/200 (99.0%)
Epoch   9/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0009 CE 0.9356) | Train Consistent: 35/800 (4.4%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9223) | Test Consistent: 200/200 (100.0%)
Epoch  10/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0008 CE 0.9378) | Train Consistent: 37/800 (4.6%) | Test Loss: 0.0019 (KL 0.0010 CE 0.9216) | Test Consistent: 200/200 (100.0%)
Epoch  11/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0010 CE 0.9299) | Train Consistent: 30/800 (3.8%) | Test Loss: 0.0016 (KL 0.0006 CE 0.9205) | Test Consistent: 190/200 (95.0%)
Epoch  12/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9306) | Train Consistent: 46/800 (5.8%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9327) | Test Consistent: 199/200 (99.5%)
Epoch  13/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9356) | Train Consistent: 47/800 (5.9%) | Test Loss: 0.0017 (KL 0.0007 CE 0.9057) | Test Consistent: 187/200 (93.5%)
Epoch  14/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0007 CE 0.9338) | Train Consistent: 48/800 (6.0%) | Test Loss: 0.0016 (KL 0.0007 CE 0.9135) | Test Consistent: 189/200 (94.5%)
Epoch  15/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0007 CE 0.9298) | Train Consistent: 53/800 (6.6%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9184) | Test Consistent: 197/200 (98.5%)
Epoch  16/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9292) | Train Consistent: 85/800 (10.6%) | Test Loss: 0.0018 (KL 0.0008 CE 0.9114) | Test Consistent: 199/200 (99.5%)
Epoch  17/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9287) | Train Consistent: 53/800 (6.6%) | Test Loss: 0.0016 (KL 0.0007 CE 0.9217) | Test Consistent: 197/200 (98.5%)
Epoch  18/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9342) | Train Consistent: 61/800 (7.6%) | Test Loss: 0.0023 (KL 0.0014 CE 0.9066) | Test Consistent: 184/200 (92.0%)
Epoch  19/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9254) | Train Consistent: 39/800 (4.9%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9231) | Test Consistent: 184/200 (92.0%)
Epoch  20/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0009 CE 0.9282) | Train Consistent: 63/800 (7.9%) | Test Loss: 0.0019 (KL 0.0010 CE 0.9140) | Test Consistent: 200/200 (100.0%)
Epoch  21/100 | Stage max M: 6 | Train Loss: 0.0020 (KL 0.0010 CE 0.9246) | Train Consistent: 63/800 (7.9%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9014) | Test Consistent: 188/200 (94.0%)
Epoch  22/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0008 CE 0.9172) | Train Consistent: 77/800 (9.6%) | Test Loss: 0.0020 (KL 0.0011 CE 0.9193) | Test Consistent: 200/200 (100.0%)
Epoch  23/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0008 CE 0.9251) | Train Consistent: 63/800 (7.9%) | Test Loss: 0.0017 (KL 0.0007 CE 0.9321) | Test Consistent: 200/200 (100.0%)
Epoch  24/100 | Stage max M: 6 | Train Loss: 0.0020 (KL 0.0011 CE 0.9200) | Train Consistent: 103/800 (12.9%) | Test Loss: 0.0019 (KL 0.0010 CE 0.9213) | Test Consistent: 200/200 (100.0%)
Epoch  25/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0008 CE 0.9377) | Train Consistent: 70/800 (8.8%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9229) | Test Consistent: 200/200 (100.0%)
Epoch  26/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0008 CE 0.9302) | Train Consistent: 65/800 (8.1%) | Test Loss: 0.0017 (KL 0.0008 CE 0.8943) | Test Consistent: 200/200 (100.0%)
Epoch  27/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9255) | Train Consistent: 65/800 (8.1%) | Test Loss: 0.0020 (KL 0.0010 CE 0.9243) | Test Consistent: 200/200 (100.0%)
Epoch  28/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0010 CE 0.9274) | Train Consistent: 69/800 (8.6%) | Test Loss: 0.0020 (KL 0.0011 CE 0.9120) | Test Consistent: 200/200 (100.0%)
Epoch  29/100 | Stage max M: 6 | Train Loss: 0.0019 (KL 0.0009 CE 0.9208) | Train Consistent: 72/800 (9.0%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9099) | Test Consistent: 200/200 (100.0%)
Epoch  30/100 | Stage max M: 6 | Train Loss: 0.0017 (KL 0.0008 CE 0.9268) | Train Consistent: 58/800 (7.2%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9101) | Test Consistent: 195/200 (97.5%)
Epoch  31/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0009 CE 0.9220) | Train Consistent: 73/800 (9.1%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9055) | Test Consistent: 165/200 (82.5%)
Epoch  32/100 | Stage max M: 6 | Train Loss: 0.0018 (KL 0.0008 CE 0.9201) | Train Consistent: 82/800 (10.2%) | Test Loss: 0.0017 (KL 0.0008 CE 0.9098) | Test Consistent: 198/200 (99.0%)

[Curriculum] Epoch 33: switching active max clauses to 13
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
Epoch  33/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8978) | Train Consistent: 60/800 (7.5%) | Test Loss: 0.0016 (KL 0.0007 CE 0.9209) | Test Consistent: 198/200 (99.0%)
Epoch  34/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8991) | Train Consistent: 49/800 (6.1%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9013) | Test Consistent: 200/200 (100.0%)
Epoch  35/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8969) | Train Consistent: 72/800 (9.0%) | Test Loss: 0.0016 (KL 0.0007 CE 0.8989) | Test Consistent: 200/200 (100.0%)
Epoch  36/100 | Stage max M: 13 | Train Loss: 0.0017 (KL 0.0008 CE 0.8902) | Train Consistent: 83/800 (10.4%) | Test Loss: 0.0018 (KL 0.0009 CE 0.9092) | Test Consistent: 200/200 (100.0%)
